"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Mar 1, 2026 12:09:44 AM PST","25788732721","Order","111-6659154-3290663","330103CNJ","VIVOSUN 48"" x 20.75"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Garden","2","amazon.com","Standard Orders","Amazon","REISTERSTOWN","MD","21136","MarketplaceFacilitator","113.98","6.84","0","0","0","0","0","0","0","0","-6.84","-17.10","-17.38","0","0","79.50","Released","Mar 1, 2026 12:09:44 AM PST"
"Mar 1, 2026 12:09:58 AM PST","25788732721","Order","112-5665120-4187450","VS-THB1S","VIVOSUN AeroLab THB1S Wireless Bluetooth Hygrometer Thermometer Indoor, VPD, Digital Temp Humidity Meter, LCD Smart App Control & Alert, Data Storage,","1","amazon.com","Standard Orders","Amazon","OMAHA","NE","68137","MarketplaceFacilitator","18.04","1.26","0","0","0","0","0","0","0","0","-1.26","-2.71","-4.06","0","0","11.27","Released","Mar 1, 2026 12:09:58 AM PST"
"Mar 1, 2026 12:10:02 AM PST","25788732721","Order","113-4511753-9682624","VSF-AWE6-G2x2","VIVOSUN AeroWave E6 Gen2, Grow Tent Clip Fan 6"", EC Motor, Smart Control, Powerful Oscillating Fan, Local Timer, Weatherproof IP54, for Hydroponics Ci","1","amazon.com","Standard Orders","Amazon","GERMANTOWN","OH","45327","MarketplaceFacilitator","75.99","5.70","0","0","0","0","0","0","0","0","-5.70","-11.40","-10.97","0","0","53.62","Released","Mar 1, 2026 12:10:02 AM PST"
"Mar 1, 2026 12:10:06 AM PST","25788732721","Order","112-0878797-6723469","GH-0004","VIVOSUN Portable Mini Greenhouse 94.5x36x36-Inch Tunnels, PE Cover with Roll-up Zipper Door, for Indoor Outdoor or Garden Plant Growing","1","amazon.com","Standard Orders","Amazon","ROSEDALE","MD","21237","MarketplaceFacilitator","45.11","2.71","0","0","0","0","0","0","0","0","-2.71","-6.77","-13.15","0","0","25.19","Released","Mar 1, 2026 12:10:06 AM PST"
"Mar 1, 2026 12:10:19 AM PST","25788732721","Order","112-7918476-1016242","311003-4J","VIVOSUN 6.5 Inch Gardening Scissors Hand Pruner Pruning Shear with Straight Stainless Steel Blades Orange 1-Pack","2","amazon.com","Standard Orders","Amazon","MCKINNEY","TX","75070","MarketplaceFacilitator","12.98","1.08","1.50","0.12","0","0","0","0","0","0","-1.20","-1.94","-6.40","0","0","6.14","Released","Mar 1, 2026 12:10:19 AM PST"
"Mar 1, 2026 12:10:22 AM PST","25788732721","Order","113-5054340-7977836","330101CNJ","VIVOSUN 10""x 20.75"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardeni","1","amazon.com","Standard Orders","Amazon","LINCOLN","NE","68502","MarketplaceFacilitator","24.79","1.80","0","0","0","0","0","0","0","0","-1.80","-3.72","-5.47","0","0","15.60","Released","Mar 1, 2026 12:10:22 AM PST"
"Mar 1, 2026 12:10:54 AM PST","25788732721","Order","113-9531209-1145834","GB0101-2J","VIVOSUN 2-Pack 5 Tier Vertical Gardening Stackable Planter for Strawberries, Flowers, Herbs, Vegetables, Brown","1","amazon.com","Standard Orders","Amazon","HAGERSTOWN","MD","21740","MarketplaceFacilitator","55.99","3.36","0","0","0","0","0","0","0","0","-3.36","-8.40","-13.63","0","0","33.96","Released","Mar 1, 2026 12:10:54 AM PST"
"Mar 1, 2026 12:11:03 AM PST","25788732721","Order","111-2350217-1674666","330101NJ","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","amazon.com","Standard Orders","Amazon","REDLANDS","CA","92373","MarketplaceFacilitator","14.99","1.31","0","0","0","0","0","0","0","0","-1.31","-2.25","-4.60","0","0","8.14","Released","Mar 1, 2026 12:11:03 AM PST"
"Mar 1, 2026 12:11:24 AM PST","25788732721","Order","113-1134838-5846644","WC-002","VIVOSUN 15-Amp Electric Wood Chipper Shredder with 1.57"" Hopper & 50L Collection Bag, Includes Plunger, Extra Carbon Blades, Safety Goggles & Gloves f","1","amazon.com","Standard Orders","Amazon","WINCHESTER","VA","22601","MarketplaceFacilitator","69.99","3.71","0","0","0","0","0","0","0","0","-3.71","-10.50","-18.95","0","0","40.54","Released","Mar 1, 2026 12:11:24 AM PST"
"Mar 1, 2026 12:11:57 AM PST","25788732721","Order","113-2505751-8239435","TN-55","VIVOSUN 5 x 5Ft. Elastic Trellis Netting with 4 Hooks for Climbing Plants, Vegetables, Fruits, and Flowers, 1-Pack","5","amazon.com","Standard Orders","Amazon","WARNER SPRINGS","CA","92086","MarketplaceFacilitator","79.95","6.20","0","0","0","0","0","0","0","0","-6.20","-12.00","-22.60","0","0","45.35","Released","Mar 1, 2026 12:11:57 AM PST"
