"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with a start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"Apr 1, 2026 11:16:54 a.m. PDT","25978195091","Refund","702-6207510-9489019","VSC-GCC4K","VIVOSUN GrowCam C4, 2K QHD WiFi Smart Camera for Grow Tent & VGrow Smart Grow Box, Timelapse, Night Vision, SD Card Storage, 2-Way Audio, App Control","1","amazon.ca","Amazon","Edmonton","Alberta","T6V 1R","Combined TCS+MTC","-62.99","-3.15","0","0","0","0","0","0","0","0","3.15","7.56","0","0","0","-55.43","Released","Apr 1, 2026 11:16:54 a.m. PDT"
"Apr 1, 2026 11:18:38 a.m. PDT","25978195091","Order","702-2134283-3246621","332823K","VIVOSUN 164 Feet (50m) PE-Coated Twist Ties, Garden Plant Ties with Cutter for Gardening, Outdoor Garden Twine Reuseable for Climbing Supporting Plant","1","amazon.ca","Amazon","Scarborough","Ontario","M1K 2G","Combined TCS+MTC","11.99","1.56","0","0","0","0","0","0","0","0","-1.56","-1.80","-5.07","0","0","5.12","Released","Apr 1, 2026 11:18:38 a.m. PDT"
"Apr 1, 2026 11:19:00 a.m. PDT","25978195091","Order","701-8781700-5126629","RC-0001-4K","VIVOSUN 1.6"" Rockwool Cubes, 112 Plugs Stonewool Starter Grow Cubes for Cuttings, Cloning, Plant Propagation, Seed Starting, Hydroponic Grow Media for","1","amazon.ca","Amazon","Surrey","BC","V3S 3H","Combined TCS+MTC","26.99","3.24","0","0","0","0","0","0","0","0","-3.24","-4.05","-10.35","0","0","12.59","Released","Apr 1, 2026 11:19:00 a.m. PDT"
"Apr 1, 2026 11:19:00 a.m. PDT","25978195091","Order","701-0284678-4100227","311001-25x10K","VIVOSUN 10-Pack 25 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.ca","Amazon","Burlington","Ontario","L7P 2H","Combined TCS+MTC","53.99","7.02","0","0","0","0","0","0","0","0","-7.02","-8.10","-13.32","0","0","32.57","Released","Apr 1, 2026 11:19:00 a.m. PDT"
"Apr 1, 2026 11:19:34 a.m. PDT","25978195091","Order","701-3248873-9570619","311001-15x10K","VIVOSUN 10-Pack 15 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.ca","Amazon","Arras","British Columbia","V0C1B","Combined TCS+MTC","38.69","4.64","0","0","0","0","0","0","0","0","-4.64","-5.80","-12.42","0","0","20.47","Released","Apr 1, 2026 11:19:34 a.m. PDT"
"Apr 1, 2026 11:19:43 a.m. PDT","25978195091","Order","702-9079922-2698602","330101-01K","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","1","amazon.ca","Amazon","Almonte","Ontario","K0A1A","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-3.00","-6.63","0","0","10.36","Released","Apr 1, 2026 11:19:43 a.m. PDT"
"Apr 1, 2026 11:19:49 a.m. PDT","25978195091","Order","701-5480604-3940205","330101-01K","VIVOSUN Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse","2","amazon.ca","Amazon","Appin","Ontario","N0L 1A","Combined TCS+MTC","39.98","5.20","4.66","0","0","0","0","0","-4.66","0","-5.20","-6.00","-13.26","0","0","20.72","Released","Apr 1, 2026 11:19:49 a.m. PDT"
"Apr 1, 2026 11:20:25 a.m. PDT","25978195091","Order","701-8176363-4887432","332572K","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Pump with 10ft High Lift, Fountain Pump with 5ft Power Cord, 3 Nozzles for Fish Tank,","1","amazon.ca","Amazon","Kanata","Ontario","K2M 2H","Combined TCS+MTC","39.99","5.20","0","0","0","0","0","0","0","0","-5.20","-6.00","-8.11","0","0","25.88","Released","Apr 1, 2026 11:20:25 a.m. PDT"
"Apr 1, 2026 11:21:07 a.m. PDT","25978195091","Order","701-7577398-3050611","311001-15x5K","VIVOSUN 5-Pack 15 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.ca","Amazon","Oakville","Ontario","L6H 6P","Combined TCS+MTC","26.99","3.51","3.26","0","0","0","0","0","-3.26","0","-3.51","-4.05","-10.26","0","0","12.68","Released","Apr 1, 2026 11:21:07 a.m. PDT"
"Apr 1, 2026 11:21:07 a.m. PDT","25978195091","Order","701-7577398-3050611","311001-7*5K","VIVOSUN 5-Pack 7 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.ca","Amazon","Oakville","Ontario","L6H 6P","Combined TCS+MTC","22.98","2.99","3.27","0","0","0","0","0","-3.27","0","-2.99","-3.45","-7.82","0","0","11.71","Released","Apr 1, 2026 11:21:07 a.m. PDT"
