"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Apr 1, 2026 12:06:00 AM PDT","26013994431","Order","112-2707086-8925811","PB-7","VIVOSUN 5-Pack 7 Gallon Potato Grow Bags for Growing Potatoes, Fabric Potato Pots with Handle and Roll-up Window, Potato Growing Containers Potato Pla","1","amazon.com","Standard Orders","Amazon","OLD HICKORY","TN","37138","MarketplaceFacilitator","21.99","2.14","0","0","0","0","0","0","0","0","-2.14","-3.30","-5.71","0","0","12.98","Released","Apr 1, 2026 12:06:00 AM PDT"
"Apr 1, 2026 12:06:05 AM PDT","26013994431","Order","114-6136856-7871466","HR-0002A","VIVOSUN Outdoor Handrail, 54"" x 36"" Fits 1-4 Steps, Wrought Iron Stair Railing with Curved Ends, One-Step Assembly, Black","1","amazon.com","Standard Orders","Amazon","SHAWNEE","KS","66203","MarketplaceFacilitator","75.99","7.30","0","0","0","0","0","0","0","0","-7.30","-11.40","-16.19","0","0","48.40","Released","Apr 1, 2026 12:06:05 AM PDT"
"Apr 1, 2026 12:06:08 AM PDT","26013994431","Order","112-1335296-6788260","Spray-SX-CS4J","VIVOSUN 1 Gal/4L Pump Sprayer, Garden Water Sprayer for Plants, Weeds & Lawn Care, with 3 Nozzles, 50'' Long Hose & Pressure Relief Valve","1","amazon.com","Standard Orders","Amazon","KISSIMMEE","FL","34746","MarketplaceFacilitator","28.04","2.10","2.99","0","0","0","0","0","-2.99","0","-2.10","-4.21","-7.78","0","0","16.05","Released","Apr 1, 2026 12:06:08 AM PDT"
"Apr 1, 2026 12:06:13 AM PDT","26013994431","Order","111-9451264-1690632","311005-3J","VIVOSUN 1.35-Gallon Pump Pressure Sprayer, Pressurized Lawn & Garden Water Spray Bottle with Adjustable Shoulder Strap, for Spraying Plants, Garden Wa","1","amazon.com","Standard Orders","Amazon","POWDER SPRINGS","GA","30127","MarketplaceFacilitator","26.99","1.62","0.75","0","0","0","0","0","-0.75","0","-1.62","-4.05","-7.94","0","0","15.00","Released","Apr 1, 2026 12:06:13 AM PDT"
"Apr 1, 2026 12:06:13 AM PDT","26013994431","Order","114-7963170-0051431","HSB950B-2500L","VIVOSUN 660GPH Submersible Water Pump, 2500L/H 35W aquarium pump, Ultra Quiet Fountain Pump with 8.2ft/2.5m High Lift for Fish Tank, Pond, Aquarium, S","1","amazon.com","Standard Orders","Amazon","Altamonte Springs","FL","32701","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","-2.55","-6.17","0","0","8.27","Released","Apr 1, 2026 12:06:13 AM PDT"
"Apr 1, 2026 12:06:18 AM PDT","26013994431","Order","111-8609526-8821804","311001-10x5NJ","VIVOSUN 5-Pack 10 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","KISSIMMEE","FL","34741","MarketplaceFacilitator","17.84","1.34","0.50","0","0","0","0","0","-0.50","0","-1.34","-2.68","-5.97","0","0","9.19","Released","Apr 1, 2026 12:06:18 AM PDT"
"Apr 1, 2026 12:06:37 AM PDT","26013994431","Order","114-6136856-7871466","HR-0002A","VIVOSUN Outdoor Handrail, 54"" x 36"" Fits 1-4 Steps, Wrought Iron Stair Railing with Curved Ends, One-Step Assembly, Black","1","amazon.com","Standard Orders","Amazon","SHAWNEE","KS","66203","MarketplaceFacilitator","75.99","7.30","0","0","0","0","0","0","0","0","-7.30","-11.40","-16.19","0","0","48.40","Released","Apr 1, 2026 12:06:37 AM PDT"
"Apr 1, 2026 12:06:37 AM PDT","26013994431","Order","114-8964101-0466660","330101x2NJ","VIVOSUN 2 Pack Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Gre","1","amazon.com","Standard Orders","Amazon","GENOA CITY","WI","53128","MarketplaceFacilitator","23.79","1.18","0","0","0","0","0","0","-2.38","0","-1.18","-3.21","-5.47","0","0","12.73","Released","Apr 1, 2026 12:06:37 AM PDT"
"Apr 1, 2026 12:07:00 AM PDT","26013994431","Order","111-1493647-7055417","332572J","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Fountain Pump with 10ft. High Lift with 6.5ft. Power Cord, 3 Nozzles for Fish Tank, P","1","amazon.com","Standard Orders","Amazon","WRIGHT CITY","MO","63390","MarketplaceFacilitator","20.24","1.26","0","0","0","0","0","0","0","0","-1.26","-3.04","-5.80","0","0","11.40","Released","Apr 1, 2026 12:07:00 AM PDT"
"Apr 1, 2026 12:07:10 AM PDT","26013994431","Order","113-4101228-2617020","305131J","VIVOSUN Soil Tester, 3-in-1 Plant Moisture Meter Light and PH Tester for Home, Garden, Lawn, Farm, Indoor and Outdoor Use, Promote Plants Healthy Grow","1","amazon.com","Standard Orders","Amazon","PINSON","AL","35126","MarketplaceFacilitator","7.21","0.58","0","0","0","0","0","0","0","0","-0.58","-1.08","-3.31","0","0","2.82","Released","Apr 1, 2026 12:07:10 AM PDT"
