"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"data/ora: data e ora della transazione pubblicata"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Nota: i report con data di inizio del 1° gennaio 2025 o successiva sono indicizzati in base alla data di pubblicazione, includono sia le transazioni di rilascio che quelle differite e contengono due nuove colonne. Potrebbe essere necessario aggiornare le integrazioni o le associazioni di terzi."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale","Stato della transazione","Data di rilascio della transazione"
"4 apr 2026 00:56:50 UTC","26822013862","Ordine","407-4630327-6273105","VSVC-AZT4-EU-FBM","VIVOSUN Kit di Estrazione Ventilatore da Condotto 100mm 357m³/h con Regolatore di velocità E12 Filtro a Carbone e Condotto 240cm AeroZesh T4 per Ten","1","amazon.it","Venditore","Roma","Roma","00132","MarketplaceFacilitator","138,43","30,46","0","0","0","0","0","0","-30,46","-25,33","0","-0,76","0","112,34","Emesso","17 apr 2026 21:26:38 UTC"
"4 apr 2026 19:16:06 UTC","26822013862","Ordine","408-2855294-3517117","306146-0412-EU","VIVOSUN Filtro A Carbone Attivo 100mm 4 Pulgadas Control De Olores con Carbón Australiano para Extractor Ventilación Grow Tent Cultivo Interior Inve","1","amazon.it","Amazon","BRUGHERIO","MB","20861","MarketplaceFacilitator","45,07","9,92","0","0","0","0","0","0","-9,92","-8,25","-13,22","-0,25","0","23,35","Emesso","16 apr 2026 21:47:36 UTC"
"5 apr 2026 01:11:24 UTC","26822013862","Ordine","402-1172923-5731518","VSGB-3-EU-M","VIVOSUN confezione da 5 sacchetti per la semina da 12L, vasi in tessuto non tessuto spesso 360G con manici e occhielli multifunzionali, sacchetto per","1","amazon.it","Venditore","Villasanta","MB","20852","MarketplaceFacilitator","18,02","3,97","0","0","0","0","0","0","-3,97","-3,30","0","-0,10","0","14,62","Emesso","20 apr 2026 22:26:31 UTC"
"6 apr 2026 00:53:16 UTC","26822013862","Ordine","171-3334451-4342713","VSE-ASH05-EU-M","VIVOSUN Umidificatore per Piante 5L Smart Humidifier AeroStream H05 24dB Silenzioso Nebbia Fredda 360° 50h Top Fill Ultrasuoni Ideale per Grow Tent e","1","amazon.it","Venditore","Daiano","Trento","38030","MarketplaceFacilitator","65,57","14,42","0","0","0","0","0","0","-14,42","-12,00","0","-0,36","0","53,21","Emesso","17 apr 2026 19:36:44 UTC"
"6 apr 2026 16:56:38 UTC","26822013862","Ordine","407-3038882-7105943","VSF-AWE6W-G2-EU","VIVOSUN Grow Ventilatore Clip Smart AeroWave E6 Gen2, 6"" Motore EC, Controllo APP/WiFi con Timer, 5 Velocità, Oscillante 12W IP54, per Grow Tent e Co","1","amazon.it","Amazon","Milano","MI","20139","MarketplaceFacilitator","45,07","9,92","1,64","0,36","0","0","-1,64","-0,36","-9,92","-8,25","-13,42","-0,25","0","23,15","Emesso","15 apr 2026 20:56:36 UTC"
"7 apr 2026 01:16:02 UTC","26732740482","Rimborso","404-1717359-2812310","VSI-VGDWC15-EU-N1","VIVOSUN VGrow DWC Kit Idroponico, Compatibile Solo con VGrow Smart Grow Box, Serbatoio 15L con Pompa ad Aria e Pietre per Radicazione Veloce (Non con","1","amazon.it","Amazon","Gavirate","Varese","21026","MarketplaceFacilitator","-20,00","-4,40","0","0","0","0","0","0","4,40","2,93","0","0,07","0","-17,00","Emesso","7 apr 2026 01:16:02 UTC"
"7 apr 2026 01:26:11 UTC","26822013862","Ordine","402-1117647-7149923","VSI-FFSW6-4-EU-M","VIVOSUN Confezione da 4 pezzi FlexFeed Self-Watering Irrigation Pot, Auto Irrigation Fabric Pot Base with Water Meter & Maintenance Window, for use in","1","amazon.it","Venditore","Villasanta","MB","20852","MarketplaceFacilitator","65,57","14,42","0","0","0","0","0","0","-14,42","-12,00","0","-0,36","0","53,21","Emesso","20 apr 2026 22:05:17 UTC"
"7 apr 2026 01:26:43 UTC","26822013862","Ordine","408-6697752-6939564","SPray-30L-EU-M","VIVOSUN Spruzzatore Nebulizzatore a Pressione 3 Litri con Cinghia Spalla Regolabile, per Irrorazione Piante, Irrigazione Giardino, Orto e Pulizia Dome","1","amazon.it","Venditore","Sieci","Firenze","50065","MarketplaceFacilitator","17,20","3,79","0","0","0","0","0","0","-3,79","-2,73","0","-0,08","0","14,39","Emesso","16 apr 2026 23:21:06 UTC"
"7 apr 2026 05:50:22 UTC","26822013862","Rimborso","406-1055537-0966739","VSE-UH075-EU-M","VIVOSUN AeroStream U075 Umidificatore, Mini Umidificatore a Nebbia Fredda da 750ml con 2 modalità di Nebbia, Spegnimento Automatico, Controllo Intell","1","amazon.it","Venditore","Vernasca","Piacenza","29010","MarketplaceFacilitator","-30,32","-6,67","0","0","0","0","0","0","6,67","4,44","0","0,17","0","-25,71","Emesso","21 apr 2026 22:24:46 UTC"
"7 apr 2026 07:48:57 UTC","26822013862","Ordine","408-2806212-7645100","311003-4-EU","VIVOSUN Confezione 1 Forbici da Giardinaggio 17cm Forbici da Pianta con Manici Ergonomici Forbici da Potatura con Lame Dritte e Rivestimento Antiadere","1","amazon.it","Amazon","Boretto","Reggio Emilia","42022","MarketplaceFacilitator","9,83","2,16","0","0","0","0","0","0","-2,16","-1,56","-5,47","-0,05","0","2,75","Emesso","16 apr 2026 23:01:08 UTC"
