"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"fecha/hora: fecha y hora de publicación de la transacción"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"Nota: Los informes con fecha de inicio del 1 de enero de 2025 o posterior se indexan por fecha de publicación, incluyen las transacciones liberadas y diferidas y tienen dos nuevas columnas. Es posible que tengas que actualizar las integraciones o asignaciones de terceros."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total","Estado de la transacción","Fecha de liberación de la transacción"
"5 abr 2026 1:08:27 UTC","26822401742","Pedido","171-8485653-2324337","GT-Pole-EU-M","VIVOSUN Kit de Tienda de Cultivo de Alto CFM, Rango de Poste Verde de 24""-48"", Adecuado para Tienda de Campaña de Cultivo de 2'x2', 3'x3', 4'x2' y 4'","1","amazon.es","Vendedor","Requena","Valencia","46340","MarketplaceFacilitator","37,18","7,81","0","0","0","0","0","0","-7,81","-6,75","0","-0,20","0","30,23","Liberada","17 abr 2026 15:51:07 UTC"
"5 abr 2026 1:08:51 UTC","26902805082","Pedido","405-4431129-5759531","311001-3x5-EU","VIVOSUN Bolsa de Cultivo 5 Unidades 12 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Vendedor","Barcelona","Barcelona","08017","MarketplaceFacilitator","14,87","3,12","0","0","0","0","0","0","-3,12","-2,70","0","-0,08","0","12,09","Liberada","22 abr 2026 12:33:56 UTC"
"5 abr 2026 1:08:52 UTC","26822401742","Pedido","403-2341655-5980329","VSE-ASH09-EU-M","VIVOSUN Humidificador para Plantas 9L Smart, AeroStream H09 con Niebla Fría 360°, 60H de Uso, Rellenado Superior, Ultrasonidos, Control Inteligente,","1","amazon.es","Vendedor","Madrid","Comunidad de Madrid","28020","MarketplaceFacilitator","99,17","20,82","0","0","0","0","0","0","-20,82","-18,00","0","-0,54","0","80,63","Liberada","20 abr 2026 17:04:24 UTC"
"5 abr 2026 1:08:53 UTC","26822401742","Pedido","405-0026790-0706736","311001-30x5-EU-M","VIVOSUN Bolsa de Cultivo 5 Unidades 115 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Vendedor","madrid","madrid","28016","MarketplaceFacilitator","28,92","6,07","0","0","0","0","0","0","-6,07","-5,25","0","-0,16","0","23,51","Liberada","20 abr 2026 15:19:06 UTC"
"5 abr 2026 1:16:03 UTC","26822401742","Pedido","403-8122532-5157152","311001-30x5-EU-M","VIVOSUN Bolsa de Cultivo 5 Unidades 115 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Vendedor","Montijo","Badajoz","06480","MarketplaceFacilitator","28,92","6,07","0","0","0","0","0","0","-6,07","-5,25","0","-0,16","0","23,51","Liberada","20 abr 2026 20:33:02 UTC"
"5 abr 2026 1:42:23 UTC","26822401742","Pedido","403-2862074-6973936","VSF-AWD4-EU","VIVOSUN Ventiladores de Pinza Oscilantes AeroWave D4 10cm para Cultivo, 3 Velocidades, Flujo de Aire Fuerte y Silencioso, Ángulo Ajustable, Color Neg","1","amazon.es","Amazon","Madrid","Madrid","28042","MarketplaceFacilitator","24,79","5,20","1,64","0,35","0","0","-1,64","-0,35","-5,20","-4,50","-3,74","-0,14","0","16,41","Liberada","13 abr 2026 0:13:52 UTC"
"5 abr 2026 7:15:37 UTC","26822401742","Pedido","402-3212144-3982752","311001-30x5-EU","VIVOSUN Bolsa de Cultivo 5 Unidades 115 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Amazon","Coimbra","Portugal","","MarketplaceFacilitator","31,40","7,22","0,60","0,14","0","0","-0,60","-0,14","-7,22","-5,70","-10,77","-0,17","0","14,76","Liberada","16 abr 2026 15:25:04 UTC"
"5 abr 2026 15:33:12 UTC","26822401742","Pedido","403-6744852-9944340","VSF-AWD4-EU","VIVOSUN Ventiladores de Pinza Oscilantes AeroWave D4 10cm para Cultivo, 3 Velocidades, Flujo de Aire Fuerte y Silencioso, Ángulo Ajustable, Color Neg","1","amazon.es","Amazon","Madrid","Madrid","28042","MarketplaceFacilitator","24,79","5,20","1,64","0,35","0","0","-1,64","-0,35","-5,20","-4,50","-3,74","-0,14","0","16,41","Liberada","12 abr 2026 21:24:35 UTC"
"5 abr 2026 16:20:25 UTC","26822401742","Pedido","405-1920752-9760350","311003-4-EU","VIVOSUN Tijeras de Jardín 17cm Tijeras de Plantas con Mangos Ergonomicos Tijeras de Poda con Cuchillas Rectas y Revestimiento Antiadherente Titanio T","1","amazon.es","Amazon","Lemoiz","BIZKAIA","48620","MarketplaceFacilitator","11,56","2,43","0","0","0","0","0","0","-2,43","-2,10","-2,55","-0,06","0","6,85","Liberada","14 abr 2026 18:31:05 UTC"
"6 abr 2026 0:06:24 UTC","26822401742","Pedido","403-1700791-3773962","306146-0412-EU","VIVOSUN Filtro de Carbón Activo 100mm Negro | con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Venti","1","amazon.es","Amazon","Castell�n","Castell�n","12005","MarketplaceFacilitator","42,68","8,96","0","0","0","0","0","0","-8,96","-7,75","-4,78","-0,23","0","29,92","Liberada","13 abr 2026 17:16:01 UTC"
