"request-date","order-id","order-source","order-type","service-speed","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","306146-0616-EU","X001VZO6ND","Unsellable","1","0","1",,"0","9.38","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","VSFW001-Black-ZY-EU","X001W1HOD5","Unsellable","1","0","1",,"0","24.53","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","VSV-AZT6-EU","X001WOUTQV","Unsellable","1","0","1",,"0","6.56","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","VSV-AZS4-EU","X001YZMP8D","Unsellable","1","0","1",,"0","6.56","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","VSV-AZS6-EU","X001YZNSF7","Unsellable","1","0","1",,"0","6.56","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","GH-E25-EU","X0020AGC0X","Unsellable","1","0","1",,"0","0.74","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","VS-THB1S-EU","X0020HG1EN","Unsellable","2","0","2",,"0","2.38","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","332021-2-EU","X0021OYWH3","Unsellable","1","1","0",,"0",,
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","332022-EU","X0021P5OXX","Unsellable","1","0","1",,"0","0.74","EUR"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","VSI-FFD2-EU","X0021PRUUD","Unsellable","1","0","1",,"0","0.74","EUR"
