"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2026-04-15T00:01:00+00:00","LH-001-UK","X001WT9DF9","B0BTM3RC2G","VIVOSUN 1-Pair 1/8 Inch Adjustable Grow Light Hanger, Heavy Duty Rope Hanger with Reinforced Metal Gears, 8Ft. Long and 150 lbs Weight Capacity Rope for Grow Light, Inline Fan, Filters","New","0.0149","GBP","cubic_feet","GB","1","0.05","331-365","0.05"
"2026-04-15T00:01:00+00:00","VSV-AZT6-EU","X001WOUTQV","B0BMV1W52R","VIVOSUN Ventilateur Conduit AeroZesh T6 150 mm 693 m³/h Ventilateur Extraction E12 Régulateur Vitesse PWM Programmables Tentes Culture Ventilation Intérieur","New","0.0215","EUR","cubic_meters","FR","1","4.88","366-455","4.88"
"2026-04-15T00:01:00+00:00","311003-5-UK","X001WHVGFL","B06Y1XVD1P","VIVOSUN Gardening Scissors 6.5 Inch Hand Pruner Shear with Titanium Coated Blades, Pruning Shear for Plants, Flowers, Hedges 1-Pack Blue","New","0.0081","GBP","cubic_feet","GB","969","242.08","456+","0.25"
"2026-04-15T00:01:00+00:00","311003-5-EU","X001W1HJ2B","B06Y1XVD1P","VIVOSUN Gartenschere 17cm Pflanzenschere mit Ergonomischen Griffen Ernteschere Grow Schere Trimmschere mit Titan-Antihaftbeschichtung & Gebogene Klinge für Pflanzen,1 Pack Blau","New","2.0E-4","EUR","cubic_meters","DE","4","0.12","301-330","0.03"
"2026-04-15T00:01:00+00:00","311003-4-EU","X001W1EEP1","B01EWH83FU","VIVOSUN Tijeras de Jardín 17cm Tijeras de Plantas con Mangos Ergonomicos Tijeras de Poda con Cuchillas Rectas y Revestimiento Antiadherente Titanio Tijeras para Rosas Naranja, 1 Paquete","New","2.0E-4","EUR","cubic_meters","ES","9","0.22","271-300","0.02"
"2026-04-15T00:01:00+00:00","CFPW-4-EU","X001VZUIM1","B0CH81FGVN","VIVOSUN Prefiltro de 4 Pulgadas Para Filtro de Carbón de 4 Pulgadas, Blanco, 9.84 Pulgadas de Largo","New","7.0E-4","EUR","cubic_meters","ES","1","0.09","271-300","0.09"
"2026-04-15T00:01:00+00:00","306143-0616-EU","X001VZO4UN","B01731MLFK","VIVOSUN Aktivkohlefilter Grow Aktivkohlefilter 150mm/6 Inch Geruchskontrolle mit Australischer Aktivkohle inkl. Vorfilter für Indoor Growzelt Growbox Rohrventilator Gewächshaus","New","0.0256","EUR","cubic_meters","DE","49","329.02","456+","6.71"
"2026-04-15T00:01:00+00:00","CFPB-8-UK","X001VZLOUB","B0CH7Z32KC","VIVOSUN 20 cm Pre-Filter for 20 cm Carbon Filter, 45 cm Long, Black","New","0.0535","GBP","cubic_feet","GB","32","10.51","456+","0.33"
"2026-04-15T00:01:00+00:00","306143-0820-UK","X001VUN05N","B01DXYMHWS","VIVOSUN 8 Inch Air Carbon Filter Smelliness Control with Australia Virgin Charcoal for Inline Duct Fan, Grow Tent,Pre-Filter Included, Reversible Flange 8""x 20""","New","1.7347","GBP","cubic_feet","GB","4","8.19","241-270","2.05"
"2026-04-15T00:01:00+00:00","SPray-15L-R-EU","X001VKLUR3","B07QSCTT31","VIVOSUN Pulverizador a Presión Rociador De Bomba Manual De 1,5L con Boquilla De Latón Ajustable, para Riego, Cuidado De Plantas, Flores, Control De Malezas Y Tareas De Limpieza, Rojo","New","0.0086","EUR","cubic_meters","ES","1","1.97","366-455","1.97"
"2026-04-15T00:01:00+00:00","SPray-80L-EU","X001VKGI6B","B07QVWQ1HC","VIVOSUN Pulvérisateur à Pression 8L avec Sangle d'Épaule Réglable, Flacon d'Eau Pressurisé pour Pelouse et Jardin, pour l'Arrosage des Plantes, l'Entretien du Jardin et le Nettoyage Domestique, Orange","New","0.0178","EUR","cubic_meters","FR","1","2.42","331-365","2.42"
"2026-04-15T00:01:00+00:00","304113-42-EU","X001VHE5Z5","B01DXYMQ9M","VIVOSUN Growzelt 120x60x150cm lichtdichtes Indoor Hydroponik Zelt mit reflektierendem Mylar Sichtfenster Bodenwanne stabile Rahmenstruktur Pflanzenzelt Gewächshaus S425 Growtent für VS2000","New","0.0325","EUR","cubic_meters","DE","2","8.13","271-300","4.07"
"2026-04-15T00:01:00+00:00","304113-44-EU","X001VH92Y9","B01731MNJE","Vivosun SS44 Wachstumszelt Grow Tent 20x20x80cm für Hydrokulturen, LED VS500/VSF80","No Listing","0.0464","EUR","cubic_meters","DE","4","23.22","271-300","5.81"
"2026-04-15T00:01:00+00:00","VSV-AZT4-EU","X001VEMT83","B0BQF728P7","VIVOSUN Ventilateur Conduit AeroZesh T4 100 mm 357 m³/h Ventilateur Extraction E12 Régulateur Vitesse PWM Programmables Tentes Culture Ventilation Intérieur**","New","0.048","EUR","cubic_meters","FR","28","352.26","456+","12.58"
"2026-04-15T00:00:00+00:00","306104-42C-EU","X0023T6Q1L","B07WFDCYZL","VIVOSUN 2er-Packung 10cm 7,6m Flexibler Luftkanal aus Aluminium für Belüftung, Inklusive 4 Schlauchschellen aus Edelstahl, Mehrschichtiges Schlauch Ventilationsset für Ventilatorsystem, HVAC-Lüftung","New","0.0129","EUR","cubic_meters","DE","10","33.70","456+","3.37"
"2026-04-15T00:00:00+00:00","306104-62C-EU","X0023T6PV7","B07WD9KQ93","VIVOSUN 2er-Packung 15cm 7,6m Flexibler Luftkanal aus Aluminium für Belüftung, Inklusive 4 Schlauchschellen aus Edelstahl, Mehrschichtiges Schlauch Ventilationsset für Ventilatorsystem, HVAC-Lüftung","New","0.0172","EUR","cubic_meters","DE","11","49.56","456+","4.51"
"2026-04-15T00:00:00+00:00","306104-482-EU","X0023T25DJ","B07FKJNGSZ","VIVOSUN Lot de 2 conduits d'air flexibles en aluminium de 10,2 cm et 2,4 m, pour ventilation CVC, 4 colliers de serrage inclus","New","0.0047","EUR","cubic_meters","FR","4","4.94","456+","1.24"
"2026-04-15T00:00:00+00:00","306104-482-EU","X0023T25DJ","B07FKJNGSZ","VIVOSUN 2er-Packung 10cm 2,4m Flexibler Luftkanal aus Aluminium für Belüftung, Inklusive 4 Schlauchschellen aus Edelstahl, Mehrschichtiges Schlauch Ventilationsset für Ventilatorsystem, HVAC-Lüftung","New","0.0047","EUR","cubic_meters","DE","3","3.69","456+","1.23"
"2026-04-15T00:00:00+00:00","306104-4C-EU","X0023SZURD","B01EUURUVM","VIVOSUN Conduit d'air flexible non isolé en aluminium pour ventilation CVC avec deux pinces en acier inoxydable de 10,2 cm","New","0.0062","EUR","cubic_meters","FR","10","16.23","456+","1.62"
"2026-04-15T00:00:00+00:00","306104-4C-EU","X0023SZURD","B01EUURUVM","VIVOSUN 10cm 7,6m Flexibler Luftkanal aus Aluminium für Belüftung, Inklusive 2 Schlauchschellen aus Edelstahl, Mehrschichtiges Schlauch Ventilationsset für Ventilatorsystem, HVAC-Lüftung","New","0.0062","EUR","cubic_meters","DE","2","3.25","456+","1.63"
"2026-04-15T00:00:00+00:00","VSA-150-HUB-EU","X0023PYIW9","B0BXNYHSWX","VIVOSUN LED Grow Lampe 150W Einstellbarem Vollspektrum Pflanzenlampe mit Integriertem Zirkulationsventilator AeroLight A150 Grow Light mit GrowHub Controller E42A für Growzelt Zimmerpflanzen","New","0.0143","EUR","cubic_meters","DE","5","18.79","456+","3.76"
"2026-04-15T00:00:00+00:00","311003-4X3NJ-UK","X0022WWM5X","B088GW8H4J","VIVOSUN 3-Pack 17 cm Gardening Scissors Hand Pruner Pruning Shear with Straight Blades and Titanium Non-Stick Coating Rose Secateurs Orange","New","0.0238","GBP","cubic_feet","GB","101","25.22","456+","0.25"
"2026-04-15T00:00:00+00:00","HDR006-UK","X0022UJ1MR","B096VM7MF3","VIVOSUN 6-Layer Mesh Drying Rack Hanging Design with Green Zippers for Dehydrating, Indoor and Outdoor Pruning Shears Included","New","0.1899","GBP","cubic_feet","GB","17","19.83","456+","1.17"
"2026-04-15T00:00:00+00:00","332823-100J-UK","X0022UIZ65","B086V9MW2Q","VIVOSUN PE-Coated Twist Ties 328 Feet (100m), Garden Plant Ties w/Cutter for Gardening, Outdoor Garden Twine Reuseable for Climbing Supporting Plants Tomatoes, Office Home Organization","New","0.0381","GBP","cubic_feet","GB","48","11.99","456+","0.25"
"2026-04-15T00:00:00+00:00","311003-4X2NJ-UK","X0022UIXBH","B087CPSL1H","VIVOSUN Pack of 2 Secateurs 17 cm Plant Shears with Ergonomic Handles Pruning Shears with Straight Blades and Titanium Non-Stick Coating Rose Scissors Orange","New","0.0132","GBP","cubic_feet","GB","163","40.72","456+","0.25"
"2026-04-15T00:00:00+00:00","VSH-IS02-UK","X0022UIVC3","B0B96R2RC3","VIVOSUN Professional Automatic Drip Irrigation Kits, 15W Output, All in One Professional Grow Kit- Includes Pump, Timer and Regulator, 8 Drip Emitters Garden Plant Watering System Indoor Outdoor","New","0.1762","GBP","cubic_feet","GB","31","33.54","456+","1.08"
"2026-04-15T00:00:00+00:00","311003-5X2NJ-UK","X0022UIUQF","B087CR7H9S","VIVOSUN Pack of 2 Secateurs 17 cm Plant Shears with Ergonomic Handles Loppers with Curved Blades and Titanium Non-Stick Coating Rose Shears Blue","New","0.028","GBP","cubic_feet","GB","223","55.71","456+","0.25"
"2026-04-15T00:00:00+00:00","TN-55-UK","X0022UGHZV","B0BY2DZJ8J","VIVOSUN Garden Netting 150 x 150 cm, Trellis Net with 4 Hooks Trellis Net for Climbing Plants Vegetables Fruits and Flowers","New","0.1418","GBP","cubic_feet","GB","6","5.23","456+","0.87"
"2026-04-15T00:00:00+00:00","TN-24-UK","X0022UGHX3","B0BY2CLYQQ","VIVOSUN Garden Netting 60 x 120 cm, Trellis Net with 4 Hooks Trellis Net for Climbing Plants Vegetables Fruits and Flowers","New","0.0244","GBP","cubic_feet","GB","26","6.50","456+","0.25"
